timestamp,P4,PO3,PO4,T5,T6,PO5,PO6,Oz,O1,O2,trigger
1756781327.2239213,-255986.546875,-256140.59375,-255976.359375,-255741.984375,-256027.1875,-256235.640625,-255978.546875,-256205.15625,0.0,-256201.9375,-256355.578125
1756781327.2239213,-256191.734375,-255957.046875,-256242.078125,-256451.0625,-256193.796875,-256420.984375,0.0,-256393.3125,-256547.171875,-256383.46875,-256148.15625
1756781327.2239213,-256433.625,-256642.265625,-256385.296875,-256612.265625,0.0,-256577.84375,-256731.84375,-256567.828125,-256332.6875,-256618.25,-256826.796875
1756781327.2239213,-256569.578125,-256796.484375,0.0,-256735.375,-256889.34375,-256725.1875,-256490.359375,-256775.46875,-256984.5625,-256726.609375,-256954.296875
1756781327.2239213,0.0,-256823.75,-256978.25,-256813.75,-256578.5625,-256863.859375,-257073.109375,-256815.046875,-257042.578125,0.0,-256853.265625
1756781327.2239213,-257007.53125,-256843.15625,-256608.0625,-256893.84375,-257102.578125,-256844.1875,-257071.640625,0.0,-256782.359375,-256936.59375,-256772.34375
1756781327.2239213,-256537.4375,-256823.078125,-257031.671875,-256773.6875,-257001.234375,0.0,-256638.546875,-256792.828125,-256628.453125,-256393.34375,-256679.140625
1756781327.2239213,-256887.734375,-256630.0625,-256857.6875,0.0,-256483.296875,-256637.125,-256472.703125,-256238.046875,-256523.53125,-256732.46875,-256474.625
1756781327.2239213,-256702.078125,0.0,-256303.140625,-256457.140625,-256292.765625,-256058.4375,-256343.640625,-256552.453125,-256294.640625,-256521.875,0.0
1756781327.2239213,-256096.296875,-256250.34375,-256086.1875,-255851.765625,-256136.65625,-256345.15625,-256087.84375,-256314.71875,0.0,-255896.5625,-256050.828125
1756781327.2239213,-255887.0,-255652.03125,-255937.15625,-256145.609375,-255888.515625,-256115.03125,0.0,-255696.15625,-255850.375,-255686.453125,-255451.890625
1756781327.2239213,-255737.015625,-255945.421875,-255688.203125,-255914.390625,0.0,-255551.265625,-255704.828125,-255540.765625,-255306.609375,-255591.453125,-255799.828125
1756781327.2239213,-255542.546875,-255768.984375,0.0,-255475.90625,-255629.59375,-255465.4375,-255231.328125,-255516.0,-255724.140625,-255467.5,-255693.078125
1756781327.2239213,0.0,-255455.5625,-255608.84375,-255445.140625,-255211.03125,-255495.53125,-255703.625,-255446.984375,-255672.953125,0.0,-255522.84375
1756781327.2239213,-255676.21875,-255512.46875,-255278.359375,-255562.765625,-255771.21875,-255514.53125,-255740.8125,0.0,-255661.375,-255815.15625,-255650.734375
1756781327.2239213,-255416.484375,-255701.15625,-255909.796875,-255653.203125,-255879.390625,0.0,-255807.515625,-255961.296875,-255797.1875,-255562.765625,-255847.875
1756781327.2239213,-256056.109375,-255799.28125,-256025.703125,0.0,-255984.265625,-256137.828125,-255973.71875,-255739.203125,-256024.546875,-256233.265625,-255975.953125
1756781327.2239213,-256202.25,0.0,-256198.265625,-256352.140625,-256187.578125,-255952.984375,-256238.40625,-256447.390625,-256189.765625,-256416.421875,0.0
1756781327.2239213,-256388.203125,-256541.90625,-256377.53125,-256142.78125,-256428.359375,-256636.984375,-256379.53125,-256606.71875,0.0,-256572.796875,-256726.75
1756781327.2239213,-256562.328125,-256327.546875,-256613.296875,-256821.875,-256564.46875,-256791.875,0.0,-256732.203125,-256886.5625,-256722.1875,-256486.875
1756781327.2239213,-256772.890625,-256981.734375,-256723.84375,-256951.46875,0.0,-256822.90625,-256977.625,-256813.34375,-256577.4375,-256863.40625,-257072.390625
